,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,設置位置,備考（設置台数）,経度,緯度
75,32018,岩手県,盛岡市,ユートランド姫神,ユートランドヒメカミ,岩手県盛岡市下田字生出893-11,,,1,141.1128875,39.85911436
76,32018,岩手県,盛岡市,岩洞活性化センター,ガンドウカッセイカセンター,岩手県盛岡市薮川字外山35-45,,,1,141.3634531,39.82800496
77,32018,岩手県,盛岡市,岩洞湖家族旅行村,ガンドウコカゾクリョコウムラ,岩手県盛岡市薮川字亀橋33-4,,,1,141.3451509,39.82889504
78,32018,岩手県,盛岡市,盛岡市中央卸売市場,モリオカシチュウオウオロシウリシジョウ,岩手県盛岡市羽場10-100,,,2,141.1291323,39.65329077
79,32018,岩手県,盛岡市,盛岡手づくり村,モリオカテヅクリムラ,岩手県盛岡市繋字尾入野64-102,,,1,141.0243637,39.69300889
80,32018,岩手県,盛岡市,盛岡市斎場やすらぎの丘,モリオカシサイジョウヤスラギノオカ,岩手県盛岡市三ﾂ割字寺山46-1,,,2,141.1584812,39.71282504
81,32018,岩手県,盛岡市,好摩幼稚園,コウマヨウチエン,岩手県盛岡市好摩字上山13-1,,,1,141.175905,39.87371459
82,32018,岩手県,盛岡市,仁王小学校,ニオウショウガッコウ,岩手県盛岡市本町通2-18-1,,,1,141.1483407,39.70984464
83,32018,岩手県,盛岡市,城南小学校,ジョウナンショウガッコウ,岩手県盛岡市若園町9-20,,,1,141.161441,39.70355947
84,32018,岩手県,盛岡市,桜城小学校,サクラギショウガッコウ,岩手県盛岡市大通3-8-1,,,1,141.1408871,39.7040207
85,32018,岩手県,盛岡市,厨川小学校,クリヤガワショウガッコウ,岩手県盛岡市前九年1-2-1,,,1,141.1288762,39.71293577
86,32018,岩手県,盛岡市,仙北小学校,センボクショウガッコウ,岩手県盛岡市仙北2-19-1,,,1,141.1528785,39.68558997
87,32018,岩手県,盛岡市,杜陵小学校,トリョウショウガッコウ,岩手県盛岡市肴町1-6,,,1,141.1525692,39.6989057
88,32018,岩手県,盛岡市,山岸小学校,ヤマギシショウガッコウ,岩手県盛岡市山岸2-13-1,,,1,141.1694403,39.71419826
89,32018,岩手県,盛岡市,大慈寺小学校,ダイジジショウガッコウ,岩手県盛岡市大慈寺町6-47,,,1,141.158297,39.69286813
90,32018,岩手県,盛岡市,米内小学校,ヨナイショウガッコウ,岩手県盛岡市上米内字米内沢50-9,,,1,141.2012083,39.75484984
91,32018,岩手県,盛岡市,中野小学校,ナカノショウガッコウ,岩手県盛岡市中野2-12-1,,,1,141.1667294,39.69097068
92,32018,岩手県,盛岡市,本宮小学校,モトミヤショウガッコウ,岩手県盛岡市本宮2-25-1,,,1,141.1401467,39.68822674
93,32018,岩手県,盛岡市,青山小学校,アオヤマショウガッコウ,岩手県盛岡市青山2-7-2,,,1,141.1138856,39.72423523
94,32018,岩手県,盛岡市,北厨川小学校,キタクリヤガワショウガッコウ,岩手県盛岡市厨川3-5-1,,,1,141.1349651,39.75111999
95,32018,岩手県,盛岡市,河北小学校,カホクショウガッコウ,岩手県盛岡市長田町16-1,,,1,141.1395577,39.71006582
96,32018,岩手県,盛岡市,上田小学校,ウエダショウガッコウ,岩手県盛岡市上田3-16-45,,,1,141.1387097,39.71927269
97,32018,岩手県,盛岡市,山王小学校,サンノウショウガッコウ,岩手県盛岡市小杉山3-1,,,1,141.1699261,39.69680298
98,32018,岩手県,盛岡市,緑が丘小学校,ミドリガオカショウガッコウ,岩手県盛岡市黒石野1-6-1,,,1,141.1480384,39.73964412
99,32018,岩手県,盛岡市,太田小学校,オオタショウガッコウ,岩手県盛岡市上太田上吉本1-1,,,1,141.0800483,39.68798994
100,32018,岩手県,盛岡市,太田東小学校,オオタヒガシショウガッコウ,岩手県盛岡市上太田上野屋敷8-1,,,1,141.0966062,39.69366856
101,32018,岩手県,盛岡市,城北小学校,ジョウホクショウガッコウ,岩手県盛岡市みたけ3-12-1,,,1,141.1142227,39.73861299
102,32018,岩手県,盛岡市,大新小学校,ダイシンショウガッコウ,岩手県盛岡市南青山町6-10,,,1,141.1145564,39.71809925
103,32018,岩手県,盛岡市,松園小学校,マツゾノショウガッコウ,岩手県盛岡市松園3-12-1,,,1,141.1622811,39.7511586
104,32018,岩手県,盛岡市,高松小学校,タカマツショウガッコウ,岩手県盛岡市上田堤2-31-12,,,1,141.155021,39.72992439
105,32018,岩手県,盛岡市,東松園小学校,ヒガシマツゾノショウガッコウ,岩手県盛岡市東松園2-5-1,,,1,141.1644071,39.75723717
106,32018,岩手県,盛岡市,北松園小学校,キタマツゾノショウガッコウ,岩手県盛岡市北松園2-12-1,,,1,141.1726275,39.7597264
107,32018,岩手県,盛岡市,向中野小学校,ムカイナカノショウガッコウ,岩手県盛岡市向中野2-39-27,,,1,141.1412757,39.68099251
108,32018,岩手県,盛岡市,見前小学校,ミルマエショウガッコウ,岩手県盛岡市西見前18-17-2,,,1,141.1623325,39.64832369
109,32018,岩手県,盛岡市,飯岡小学校,イイオカショウガッコウ,岩手県盛岡市下飯岡8-48,,,1,141.124815,39.66750665
110,32018,岩手県,盛岡市,羽場小学校,ハバショウガッコウ,岩手県盛岡市羽場17-55-2,,,1,141.1122751,39.65471553
111,32018,岩手県,盛岡市,永井小学校,ナガイショウガッコウ,岩手県盛岡市永井10-16,,,1,141.1411795,39.65290383
112,32018,岩手県,盛岡市,手代森小学校,テシロモリショウガッコウ,岩手県盛岡市手代森22-47,,,1,141.1870631,39.63959243
113,32018,岩手県,盛岡市,津志田小学校,ツシダショウガッコウ,岩手県盛岡市津志田中央1-8-40,,,1,141.1554804,39.66391528
114,32018,岩手県,盛岡市,見前南小学校,ミルマエミナミショウガッコウ,岩手県盛岡市西見前13-167,,,1,141.1642593,39.63939689
115,32018,岩手県,盛岡市,都南東小学校,トナンヒガシショウガッコウ,岩手県盛岡市乙部12-16-1,,,1,141.201554,39.61390963
116,32018,岩手県,盛岡市,玉山小学校,タマヤマショウガッコウ,岩手県盛岡市日戸字市の坪53,,,1,141.1976102,39.7990433
117,32018,岩手県,盛岡市,渋民小学校,シブタミショウガッコウ,岩手県盛岡市渋民字鶴塚114,,,1,141.1675065,39.8475686
118,32018,岩手県,盛岡市,巻堀小学校,マキホリショウガッコウ,岩手県盛岡市巻堀字巻堀12-1,,,1,141.1952301,39.89388645
119,32018,岩手県,盛岡市,好摩小学校,コウマショウガッコウ,岩手県盛岡市好摩字夏間木70-60,,,1,141.1689027,39.87355563
120,32018,岩手県,盛岡市,下橋中学校,シモノハシチュウガッコウ,岩手県盛岡市馬場町1-1,,,1,141.1465752,39.69814942
121,32018,岩手県,盛岡市,下小路中学校,シタコウジチュウガッコウ,岩手県盛岡市愛宕町1-1,,,1,141.1563428,39.70832743
122,32018,岩手県,盛岡市,厨川中学校,クリヤガワチュウガッコウ,岩手県盛岡市青山2-7-1,,,1,141.1156118,39.72389381
123,32018,岩手県,盛岡市,上田中学校,ウエダチュウガッコウ,岩手県盛岡市上田2-1-1,,,1,141.1478761,39.71447791
124,32018,岩手県,盛岡市,河南中学校,カナンチュウガッコウ,岩手県盛岡市茶畑2-17-1,,,1,141.1628437,39.69092271
125,32018,岩手県,盛岡市,仙北中学校,センボクチュウガッコウ,岩手県盛岡市仙北3-18-1,,,1,141.1535033,39.68341601
126,32018,岩手県,盛岡市,米内中学校,ヨナイチュウガッコウ,岩手県盛岡市桜台2-19-1,,,1,141.197725,39.74901621
127,32018,岩手県,盛岡市,土淵中学校,ツチブチチュウガッコウ,岩手県盛岡市土淵字幅2-3,,,1,141.0915095,39.71320178
128,32018,岩手県,盛岡市,黒石野中学校,クロイシノチュウガッコウ,岩手県盛岡市黒石野3-15-1,,,1,141.1414627,39.74108595
129,32018,岩手県,盛岡市,黒石野中学校北杜分校,クロイシノチュウガッコウホクトブンコウ,岩手県盛岡市厨川2-3-1,,,1,141.1365369,39.74232989
130,32018,岩手県,盛岡市,城西中学校,ジョウセイチュウガッコウ,岩手県盛岡市城西町4-1,,,1,141.1278643,39.70427121
131,32018,岩手県,盛岡市,城東中学校,ジョウトウチュウガッコウ,岩手県盛岡市東新庄1-30-1,,,1,141.1728116,39.701822
132,32018,岩手県,盛岡市,大宮中学校,オオミヤチュウガッコウ,岩手県盛岡市本宮字大宮5-1,,,1,141.1128203,39.68398493
133,32018,岩手県,盛岡市,松園中学校,マツゾノチュウガッコウ,岩手県盛岡市東松園2-14-1,,,1,141.1674714,39.75561043
134,32018,岩手県,盛岡市,北松園中学校,キタマツゾノチュウガッコウ,岩手県盛岡市北松園4-34-1,,,1,141.1757046,39.76023397
135,32018,岩手県,盛岡市,見前中学校,ミルマエチュウガッコウ,岩手県盛岡市津志田14-34,,,1,141.159394,39.65507778
136,32018,岩手県,盛岡市,飯岡中学校,イイオカチュウガッコウ,岩手県盛岡市下飯岡6-51-1,,,1,141.1182435,39.66530267
137,32018,岩手県,盛岡市,乙部中学校,オトベチュウガッコウ,岩手県盛岡市黒川21-51,,,1,141.1873996,39.6218351
138,32018,岩手県,盛岡市,見前南中学校,ミルマエミナミチュウガッコウ,岩手県盛岡市西見前16-73,,,1,141.161221,39.64263304
139,32018,岩手県,盛岡市,玉山中学校,タマヤマチュウガッコウ,岩手県盛岡市日戸字鷹高39-2,,,1,141.1896985,39.79566604
