都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,"注1：利用可能曜日が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の利用可能曜日に従う」等理由を記載
注2：開始時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の開始時間に従う」等理由を記載
注3：終了時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の終了時間に従う」等理由を記載"
32026,44,岩手県,宮古市,金浜老人福祉センター,カネハマロウジンフクシセンター,岩手県宮古市金浜1-18-1,,39.59794,141.944282,事務所入口前,62-8231,,,,,,,,,,,
32026,45,岩手県,宮古市,近内介護予防拠点施設,チカナイカイゴヨボウキョテンシセツ,岩手県宮古市近内3-8-17,,39.647632,141.916988,正面玄関付近男子更衣室前,63-3315,,,,,,,,,,,
32026,46,岩手県,宮古市,宮古市総合福祉センター,ミヤコシソウゴウフクシセンター,岩手県宮古市小山田2-9-20,,39.634867,141.940178,1階事務室窓口付近,64-5050,,,,,,,,,,,
32026,50,岩手県,宮古市,宮古職業訓練センター,ミヤコショクギョウクンレンセンター,岩手県宮古市長町2-6-1,,39.632698,141.919777,正面入口付近,63-6688,,,,,,,,,,,
32026,51,岩手県,宮古市,みやこ斎苑,ミヤコサイエン,岩手県宮古市千徳14-71-4,,39.62272,141.927379,事務所内,64-2225,,,,,,,,,,,
32026,52,岩手県,宮古市,重茂漁業協同組合,オモエギョギョウキョウドウクミアイ,岩手県宮古市重茂1-37-1,,39.581156,142.021616,1階事務所前,68-2211,,,,,,,,,,,
32026,53,岩手県,宮古市,堀内地区センター,ホリナイチクセンター,岩手県宮古市赤前15-17-3,,39.593294,141.96464,正面入口付近,,,,,,,,,,,,
32026,54,岩手県,宮古市,八木沢地区センター,ヤギサワチクセンター,岩手県宮古市八木沢2-5-9,,39.621625,141.946154,正面入口付近,,,,,,,,,,,,
32026,55,岩手県,宮古市,身体障害者福祉センター,シンタイショウガイシャフクシセンター,岩手県宮古市金浜1-16-1,,39.597833,141.944169,事務所前,63-7333,,,,,,,,,,,
32026,56,岩手県,宮古市,基幹集落センター,キカンシュウラクセンター,岩手県宮古市刈屋11-101-17,,39.645292,141.757066,正面入口付近,72-2216,,,,,,,,,,,
32026,57,岩手県,宮古市,和井内ふるさと会館,ワイナイフルサトカイカン,岩手県宮古市和井内17-64-2,,39.685539,141.716321,正面入口付近カウンター横,83-7800,,,,,,,,,,,
32026,58,岩手県,宮古市,宮古女遊戸地区集会施設,ミヤコオナツペチクシュウカイシセツ,岩手県宮古市崎山5-11-2,,39.691198,141.959285,正面入口付近,,,,,,,,,,,,
32026,1001,岩手県,宮古市,宮古小学校,ミヤコショウガッコウ,岩手県宮古市横町5-1,,39.644447,141.950108,正面入口付近,62-2009,,,,,,,,,,,
32026,1002,岩手県,宮古市,鍬ヶ崎小学校,クワガサキショウガッコウ,岩手県宮古市熊野町6-33,,39.649585,141.966426,体育館出入口付近,62-6043,,,,,,,,,,,
32026,1003,岩手県,宮古市,磯鶏小学校,ソケイショウガッコウ,岩手県宮古市上村2-4-1,,39.627522,141.954657,職員玄関内,62-2454,,,,,,,,,,,
32026,1004,岩手県,宮古市,山口小学校,ヤマグチショウガッコウ,岩手県宮古市鴨崎町3-25,,39.645405,141.942008,職員玄関入口付近、体育館内,62-2723,,,,,,,,,,,
32026,1005,岩手県,宮古市,千徳小学校,セントクショウガッコウ,岩手県宮古市西ヶ丘1-2-1,,39.640535,141.916714,1階保健室前,62-3934,,,,,,,,,,,
32026,1006,岩手県,宮古市,高浜小学校,タカハマショウガッコウ,岩手県宮古市高浜4-7-22,,39.599056,141.944164,体育館出入口付近,62-5567,,,,,,,,,,,
32026,1007,岩手県,宮古市,花輪小学校,ハナワショウガッコウ,岩手県宮古市花輪4-26,,39.609397,141.899436,体育館出入口付近,69-2022,,,,,,,,,,,
32026,1008,岩手県,宮古市,津軽石小学校,ツガルイシショウガッコウ,岩手県宮古市津軽石4-82,,39.581301,141.934159,体育館出入口付近,67-2117,,,,,,,,,,,
32026,1010,岩手県,宮古市,重茂小学校,オモエショウガッコウ,岩手県宮古市重茂2-12,,39.584679,142.021921,昇降口内,68-2034,,,,,,,,,,,
